TEN,LOAI_HINH,VUNG,DAY,LAT,LON,THU_TU
GEM Center,Hội nghị,TP.HCM,Day 1,10.7901412485,106.702372151,3.0
Trung tâm Hội chợ và Triển lãm Sài Gòn (SECC),Hội nghị,TP.HCM,Day 1,10.7306561679,106.721340231,1.0
White Palace,Hội nghị,TP.HCM,Day 1,10.8258793445,106.716441265,
Athena Hotel,Khách sạn,TP.HCM,Day 1,10.7776849755,106.664954659,
Eastin Grand Saigon Hotel,Khách sạn,TP.HCM,Day 1,10.7966983322,106.673245244,
Hotel Continental Saigon,Khách sạn,TP.HCM,Day 1,10.7768959933,106.702503596,
JW Marriott Hotel & Suites Saigon,Khách sạn,TP.HCM,Day 1,10.7809406513,106.700566327,4.0
Novotel Saigon Centre Hotel,Khách sạn,TP.HCM,Day 1,10.7843188437,106.695881494,
Pullman Saigon Hotel,Khách sạn,TP.HCM,Day 1,10.7643284176,106.691671698,6.0
Sofitel Saigon Plaza Hotel,Khách sạn,TP.HCM,Day 1,10.7840846033,106.702571462,5.0
Windsor Plaza Hotel,Khách sạn,TP.HCM,Day 1,10.7577959604,106.673306042,
Trung Tâm Triển Lãm Hội Nghị Quốc Tế Sky Expo Viet Nam,Triển lãm,TP.HCM,Day 1,10.8559389592,106.628012234,2.0
Trung tâm Triển lãm và Hội chợ Tân Bình TBECC,Triển lãm,TP.HCM,Day 1,10.795638354,106.65481193,
Công viên Văn hóa Đầm Sen,Vui chơi/Tham quan,TP.HCM,Day 1,10.7687992942,106.636106221,
"Công viên lịch sử văn hóa - dân tộc (công viên chuyên đề, du lịch sinh thái, tôn giáo)",Vui chơi/Tham quan,TP.HCM,Day 1,10.8878752224,106.819612482,
Công viên văn hóa Suối Tiên,Vui chơi/Tham quan,TP.HCM,Day 1,10.8662277431,106.803152679,8.0
Khu di tích lịch sử Địa đạo Củ Chi,Vui chơi/Tham quan,TP.HCM,Day 1,11.1415848281,106.461594525,9.0
Khu du lịch Bình Quới 1,Vui chơi/Tham quan,TP.HCM,Day 1,10.8294993999,106.739179881,
Khu du lịch Bình Quới 2,Vui chơi/Tham quan,TP.HCM,Day 1,10.8325058293,106.742887963,
Khu du lịch Bình Quới 3 (hay còn gọi là Quán Xưa),Vui chơi/Tham quan,TP.HCM,Day 1,10.8207325194,106.727199862,
Khu du lịch Văn Thánh,Vui chơi/Tham quan,TP.HCM,Day 1,10.7987274321,106.716560239,
Khu du lịch sinh thái Vàm Sát - Cần Giờ (hướng tới là khu du lịch Quốc Gia),Vui chơi/Tham quan,TP.HCM,Day 1,10.4895162832,106.796015753,
Khu du lịch sinh thái ven sông Bình Mỹ (Các khu du lịch sinh thái ven sông Sài Gòn),Vui chơi/Tham quan,TP.HCM,Day 1,10.9626970422,106.647769911,
Khu du lịch sinh thái địa đạo Củ Chi,Vui chơi/Tham quan,TP.HCM,Day 1,11.0300572709,106.492576265,
Khu du lịch “Một thoáng Việt Nam”,Vui chơi/Tham quan,TP.HCM,Day 1,11.1302752173,106.502829931,
Khu vui chơi giải trí Jungle Family & Kids Cafe tại Tân Thành,Vui chơi/Tham quan,TP.HCM,Day 1,10.78697217,106.640617912,
Phim trường cối xay gió,Vui chơi/Tham quan,TP.HCM,Day 1,11.0534457775,106.603267495,
Phương Nam Resort Cần Giờ,Vui chơi/Tham quan,TP.HCM,Day 1,10.3773117579,106.891163033,
Thảo Cầm viên Sài Gòn,Vui chơi/Tham quan,TP.HCM,Day 1,10.7873327657,106.705054987,7.0
Trung tâm Xúc tiến Du lịch Thành phố Hồ Chí Minh,Vui chơi/Tham quan,TP.HCM,Day 1,10.9780290118,106.661339516,
Địa đạo Bến Đình,Vui chơi/Tham quan,TP.HCM,Day 1,11.0622901884,106.529092819,
Trung tâm triển lãm Quốc tế WTC EXPO,Hội nghị,Bình Dương,Day 2,11.0567608235,106.686336382,1.0
The Mira,Khách sạn,Bình Dương,Day 2,10.9870259873,106.664786316,4.0
Gold Star Restaurant,Nhà hàng,Bình Dương,Day 2,10.9780754654,106.655240639,3.0
Trung tâm Hội nghị và Triển lãm tỉnh Bình Dương (BCEC),Triển lãm,Bình Dương,Day 2,11.0542039414,106.682249946,2.0
An Lâm Sài Gòn River,Vui chơi/Tham quan,Bình Dương,Day 2,10.8710171345,106.699145281,
Bến Đình Phú Long,Vui chơi/Tham quan,Bình Dương,Day 2,10.8954581662,106.695589849,
Công viên Thành phố mới Bình Dương,Vui chơi/Tham quan,Bình Dương,Day 2,11.0488703112,106.674103925,
Công viên nước Thanh Lễ,Vui chơi/Tham quan,Bình Dương,Day 2,10.9889785909,106.662972215,
"Cầu Đôi Camping (Điểm du lịch đổi mới, sáng tạo, vui chơi giải trí cao cấp Bàu Bàng)",Vui chơi/Tham quan,Bình Dương,Day 2,11.1732713886,106.592251706,
Di tích lịch sử Cầu Sông Bé,Vui chơi/Tham quan,Bình Dương,Day 2,11.2533316725,106.759669552,
Di tích lịch sử Làng cao su thời Pháp thuộc,Vui chơi/Tham quan,Bình Dương,Day 2,11.323020135,106.421328659,
Di tích lịch sử chiến khu D,Vui chơi/Tham quan,Bình Dương,Day 2,11.1262559072,106.865300702,
Du lịch sinh thái Hàm Tam Đằng,Vui chơi/Tham quan,Bình Dương,Day 2,11.2489838593,106.868969037,
Du lịch xanh Dìn Ký Lái Thiêu,Vui chơi/Tham quan,Bình Dương,Day 2,10.9219436552,106.68587154,
Hồ Đá bàn,Vui chơi/Tham quan,Bình Dương,Day 2,11.1225692093,106.85761973,
Khu Du Lịch Sinh Thái Đọt Champa,Vui chơi/Tham quan,Bình Dương,Day 2,11.4090263653,106.42357821,
Khu Du lịch Mắt Xanh,Vui chơi/Tham quan,Bình Dương,Day 2,11.1901564673,106.91667347,
Khu Tưởng Niệm Di Tích Chiến Khu Vĩnh Lợi,Vui chơi/Tham quan,Bình Dương,Day 2,11.0973093316,106.723555829,
Khu di tích lịch sử cách mạng và du lịch sinh thái Hố Lang,Vui chơi/Tham quan,Bình Dương,Day 2,10.9547121353,106.746456004,
Khu di tích lịch sử Địa đạo Tam Giác Sắt,Vui chơi/Tham quan,Bình Dương,Day 2,11.0899622938,106.540767383,
Khu du lịch cù lao Bạch Đằng,Vui chơi/Tham quan,Bình Dương,Day 2,11.0380355985,106.799830083,
"Khu du lịch nghỉ dưỡng, sinh thái đập Phước Hòa",Vui chơi/Tham quan,Bình Dương,Day 2,11.4213728699,106.720326458,
Khu du lịch núi Châu Thới,Vui chơi/Tham quan,Bình Dương,Day 2,10.9147532553,106.805305974,
Khu du lịch sinh thái Cù lao Thạnh Hội,Vui chơi/Tham quan,Bình Dương,Day 2,10.9794420968,106.780914824,
Khu du lịch Đại Nam,Vui chơi/Tham quan,Bình Dương,Day 2,11.0413966834,106.630774712,5.0
Khu du lịch Đại Nam Văn Hiến,Vui chơi/Tham quan,Bình Dương,Day 2,11.0413953462,106.630787796,6.0
"Khu dịch vụ-du lịch sinh thái (Đập Thị Tính) tại An Lập, Long Hòa",Vui chơi/Tham quan,Bình Dương,Day 2,11.3271684431,106.476278025,
Làng tre Phú An,Vui chơi/Tham quan,Bình Dương,Day 2,11.0664676258,106.58469495,7.0
Nhà cổ Trần Văn Hổ (Điểm không gian trải nghiệm đô thị văn hóa-lịch sử trung tâm TP.Thủ Dầu Một),Vui chơi/Tham quan,Bình Dương,Day 2,10.9780030261,106.650658369,
Núi Cậu,Vui chơi/Tham quan,Bình Dương,Day 2,11.3461992169,106.366981908,8.0
Suối Trúc,Vui chơi/Tham quan,Bình Dương,Day 2,11.3333055947,106.359868893,9.0
Trung tâm nghỉ mát hồ Cần Nôm - Dầu Tiếng,Vui chơi/Tham quan,Bình Dương,Day 2,11.2380103087,106.417181968,
Aurora Event Center,Hội nghị,Vũng Tàu,Day 3,10.3509241705,107.099437857,1.0
InterContinental Grand Ho Tram,Hội nghị,Vũng Tàu,Day 3,10.4857826142,107.455442665,7.0
DIC Star Landmark,Khách sạn,Vũng Tàu,Day 3,10.3496457441,107.094615892,
Grand Hotel,Khách sạn,Vũng Tàu,Day 3,10.3436384705,107.075185977,
Malibu Hotel,Khách sạn,Vũng Tàu,Day 3,10.3475947989,107.095025164,
Palace Hotel Vũng Tàu,Khách sạn,Vũng Tàu,Day 3,10.3430183316,107.075901436,3.0
Premier Pearl Hotel,Khách sạn,Vũng Tàu,Day 3,10.3322636236,107.088944416,
The Grand Hồ Tràm,Khách sạn,Vũng Tàu,Day 3,10.4877625675,107.453837224,
The IMPERIAL Hotel,Khách sạn,Vũng Tàu,Day 3,10.3439528975,107.094969791,2.0
Vias Hotel,Khách sạn,Vũng Tàu,Day 3,10.352402193,107.101423207,
Khu du lịch Biển Hồ Cốc,Vui chơi/Tham quan,Vũng Tàu,Day 3,10.4994485192,107.477668558,
Khu du lịch Chí Linh,Vui chơi/Tham quan,Vũng Tàu,Day 3,10.3691055212,107.120314766,
Khu du lịch Hồ Mây,Vui chơi/Tham quan,Vũng Tàu,Day 3,10.359766769,107.069334063,4.0
Khu du lịch Hồ Tràm,Vui chơi/Tham quan,Vũng Tàu,Day 3,10.470375401,107.435759351,6.0
Khu du lịch biển Long Hải,Vui chơi/Tham quan,Vũng Tàu,Day 3,10.3873685812,107.232500217,5.0
Khu du lịch biển Phước Hải,Vui chơi/Tham quan,Vũng Tàu,Day 3,10.4183571298,107.28773348,
Khu du lịch suối nước nóng Bình Châu,Vui chơi/Tham quan,Vũng Tàu,Day 3,10.6012087514,107.55924453,8.0
Vườn Quốc gia Côn Đảo,Vui chơi/Tham quan,Vũng Tàu,Day 3,8.70027865101,106.596334463,9.0
Điểm tham quan hồ Dầu Tiếng,Vui chơi/Tham quan,Vũng Tàu,Day 3,11.3237802904,106.347515121,
